nazwa,telefon,miasto,www,facebook,instagram,booksy,liczba_opinii,ocena,jakosc,status,notatki,maps_url
Be beauty- instytut nowoczesnej kosmetyki,504812263,Włodzimierzów,,https://www.facebook.com/InstytutNowoczesnejKosmetyki/,,,37,4.8,4,nowy,"Bardzo aktywna: Facebook (Instytut Nowoczesnej Kosmetyki), rezerwacje online przez Fresha, 37 opinii Google (4.8), ale brak własnej strony internetowej — dobry potencjał.",https://www.google.com/maps/place/Be+beauty-+instytut+nowoczesnej+kosmetyki/data=!4m7!3m6!1s0x47198d5714b8b71d:0xb81529ab67312a42!8m2!3d51.3759938!4d19.8218381!16s%2Fg%2F11qnt831bh!19sChIJHbe4FFeNGUcRQioxZ6spFbg?authuser=0&hl=pl&rclk=1
Salon kosmetyczny Małgorzata Wzorek,788877187,Sulejów,,https://www.facebook.com/salonkosmetycznywzorek/,https://www.instagram.com/salon_kosmetyczny_wzorek/,,7,5.0,4,nowy,"Aktywna na dwóch kanałach: Facebook (577 polubień) i Instagram, tylko 7 opinii Google (5.0), ale realna obecność w social media, brak własnej strony — dobry potencjał.",https://www.google.com/maps/place/Salon+kosmetyczny+Ma%C5%82gorzata+Wzorek/data=!4m7!3m6!1s0x47198dc486fab9af:0xa3e1a2bf3f235719!8m2!3d51.3659907!4d19.880725!16s%2Fg%2F11vyygc84r!19sChIJr7n6hsSNGUcRGVcjP7-i4aM?authuser=0&hl=pl&rclk=1
AURA salon,666407785,Sulejów,,,https://www.instagram.com/_salon.aura_?igshid=OGQ5ZDc2ODk2ZA==,,26,5.0,3,nowy,"Uzupełniony profil Google (26 opinii, 5.0), aktywny Instagram, brak Facebooka/Booksy i www.",https://www.google.com/maps/place/AURA+salon/data=!4m7!3m6!1s0x47198d0286cea017:0xb32f2d364e913c9c!8m2!3d51.3538733!4d19.8844687!16s%2Fg%2F11vk2h5zlz!19sChIJF6DOhgKNGUcRnDyRTjYtL7M?authuser=0&hl=pl&rclk=1
Monika Staniewska FACE STUDIO,603770915,Sulejów,,https://www.facebook.com/facestudio28,,,18,5.0,3,nowy,"Uzupełniony profil Google (18 opinii, 5.0), aktywny Facebook, brak Instagrama/Booksy i www.",https://www.google.com/maps/place/Monika+Staniewska+FACE+STUDIO/data=!4m7!3m6!1s0x47198dca45e04a23:0xa8620e65327d776a!8m2!3d51.3562393!4d19.8863194!16s%2Fg%2F11r9ct5nkd!19sChIJI0rgRcqNGUcRand9MmUOYqg?authuser=0&hl=pl&rclk=1
NOVA Magda Kowalska makijaż permanentny i stylizacja rzęs,515235861,Sulejów,,https://www.facebook.com/share/19C6mnmmVA/?mibextid=wwXIfr,,,18,5.0,3,nowy,"Uzupełniony profil Google (18 opinii, 5.0), aktywny Facebook, brak Instagrama/Booksy i www.",https://www.google.com/maps/place/NOVA+Magda+Kowalska+makija%C5%BC+permanentny+i+stylizacja+rz%C4%99s/data=!4m7!3m6!1s0x4719936b0e621c17:0x8bc20a4e79a49b6a!8m2!3d51.351276!4d19.890348!16s%2Fg%2F11ltx0tb68!19sChIJFxxiDmuTGUcRapukeU4Kwos?authuser=0&hl=pl&rclk=1
MajFi_beauty Kinga Bałecka,509530559,Sulejów,,,https://instagram.com/majfi_beauty?igshid=YmMyMTA2M2Y=,,11,5.0,3,nowy,"Uzupełniony profil Google (11 opinii, 5.0), aktywny Instagram, brak Facebooka/Booksy i www.",https://www.google.com/maps/place/MajFi_beauty+Kinga+Ba%C5%82ecka/data=!4m7!3m6!1s0x44227248faf5ae57:0x16b22790c12a3f7d!8m2!3d51.3527862!4d19.8735155!16s%2Fg%2F11t7zpw5fj!19sChIJV671-khyIkQRfT8qwZAnshY?authuser=0&hl=pl&rclk=1
Beauty Studio,698464259,Sulejów,,https://www.facebook.com/share/1AqDK73Pxc/?mibextid=wwXIfr,,,10,5.0,3,nowy,"Uzupełniony profil Google (10 opinii, 5.0), aktywny Facebook, brak Instagrama/Booksy i własnej strony.",https://www.google.com/maps/place/Beauty+Studio/data=!4m7!3m6!1s0x47198d29047d7895:0x1dc98e4db958c1b0!8m2!3d51.353302!4d19.888353!16s%2Fg%2F11z5ytkk4y!19sChIJlXh9BCmNGUcRsMFYuU2OyR0?authuser=0&hl=pl&rclk=1
DIAMONDS BEAUTY Aleksandra Krasoń,730165130,Sulejów,,https://www.facebook.com/AleksandraKrasonMakeUp/,,,9,5.0,3,nowy,"Uzupełniony profil Google (9 opinii, 5.0), znaleziono Facebooka właścicielki (Aleksandra Krasoń make up, Sulejów), brak Instagrama/Booksy i www.",https://www.google.com/maps/place/DIAMONDS+BEAUTY+Aleksandra+Kraso%C5%84/data=!4m7!3m6!1s0x47198da63d38e109:0x2c750c61a8c3aa51!8m2!3d51.349832!4d19.888297!16s%2Fg%2F11k6zs6rsj!19sChIJCeE4PaaNGUcRUarDqGEMdSw?authuser=0&hl=pl&rclk=1
LEJDIS,739048122,Sulejów,,,,,37,4.8,2,nowy,"Dobrze uzupełniony profil Google (37 opinii, 4.8), nie udało się jednoznacznie potwierdzić dedykowanego Facebooka/Instagrama/Booksy dla tej lokalizacji (nazwa popularna w innych miastach), brak www.",https://www.google.com/maps/place/LEJDIS/data=!4m7!3m6!1s0x47198d43fec70343:0x788789319d053c68!8m2!3d51.3593849!4d19.8709772!16s%2Fg%2F11cmffp_p6!19sChIJQwPH_kONGUcRaDwFnTGJh3g?authuser=0&hl=pl&rclk=1
"""Oczko"" Gabinet Kosmetyczny Lucyna Piechura",,Sulejów,,,,,3,3.7,1,nowy,"Niedokończony profil Google (brak numeru telefonu na wizytówce, tylko 3 opinie 3.7), nie znaleziono Facebooka/Instagrama/Booksy — firma praktycznie niewidoczna online.",https://www.google.com/maps/place/%22Oczko%22+Gabinet+Kosmetyczny+Lucyna+Piechura/data=!4m7!3m6!1s0x47198d58f5c60011:0x8bcb04016aa519cc!8m2!3d51.3534139!4d19.8886863!16s%2Fg%2F11fkmyznq7!19sChIJEQDG9ViNGUcRzBmlagEEy4s?authuser=0&hl=pl&rclk=1
